,loss,mse,val_loss,val_mse,lr
0,1.1453174436531095,1.1455111503601074,0.16307292101896126,0.16310136020183563,0.0007459400221705437
1,0.7151168943586943,0.7152401804924011,0.14425132451007958,0.14427626132965088,0.0007459400221705437
2,0.14340071327128198,0.14342552423477173,0.14378516120246831,0.14381007850170135,0.0007459400221705437
3,0.14174997135517883,0.14177414774894714,0.1432553070027672,0.14327973127365112,0.0007459400221705437
4,0.14155895738620533,0.14158330857753754,0.14304711895469327,0.1430726945400238,0.0007459400221705437
5,0.14146580700115932,0.1414901465177536,0.14308306130684845,0.14310748875141144,0.0007459400221705437
6,0.1414049524011598,0.14142996072769165,0.14300135538374859,0.14302659034729004,0.0007459400221705437
7,0.14098726378880655,0.14101099967956543,0.1427040699730432,0.14272944629192352,0.0001491879957029596
8,0.14098071159678466,0.141004741191864,0.14271526409205423,0.1427411139011383,0.0001491879957029596
9,0.14097483148396012,0.1409989446401596,0.14272696036293314,0.1427525281906128,0.0001491879957029596
10,0.14096960911883802,0.1409940868616104,0.1427372840999187,0.14276275038719177,0.0001491879957029596
11,0.1409649119196961,0.1409895271062851,0.14274840709580394,0.1427742838859558,0.0001491879957029596
12,0.1409605556936414,0.1409851312637329,0.14276122163984767,0.14278671145439148,0.0001491879957029596
13,0.14095643975699157,0.14098088443279266,0.14277310445561972,0.14279808104038239,0.0001491879957029596
14,0.14086878320908292,0.14089417457580566,0.14269538481306995,0.1427197903394699,2.983759986818768e-05
15,0.14086514212438606,0.14089050889015198,0.14270661924936684,0.14273084700107574,2.983759986818768e-05
16,0.1408624439894056,0.14088813960552216,0.1427225408445566,0.14274708926677704,2.983759986818768e-05
17,0.14085961293506777,0.14088521897792816,0.14274047397858663,0.14276526868343353,2.983759986818768e-05
18,0.14085683274642616,0.1408824771642685,0.1427613596075992,0.1427859663963318,2.983759986818768e-05
19,0.14085413207457148,0.14087961614131927,0.14278675250355294,0.14281144738197327,2.983759986818768e-05
20,0.1408513740139698,0.140876904129982,0.1428142045076958,0.14283889532089233,2.983759986818768e-05
21,0.14083326215348804,0.14085860550403595,0.1429701301028856,0.14299581944942474,5.967519882688066e-06
22,0.1408266134683263,0.14085210859775543,0.14303192323857108,0.1430567502975464,5.967519882688066e-06
23,0.1408231873947249,0.140848308801651,0.14306181238058008,0.14308664202690125,5.967519882688066e-06
24,0.14082061240493723,0.14084595441818237,0.14308228230250472,0.14310690760612488,5.967519882688066e-06
25,0.14081854277444272,0.1408439576625824,0.14309708604922347,0.14312148094177246,5.967519882688066e-06
26,0.14081649349724715,0.14084164798259735,0.14310986208572565,0.14313413202762604,5.967519882688066e-06
27,0.14081420033713823,0.14083948731422424,0.14312114197701042,0.1431455761194229,5.967519882688066e-06
28,0.14084743445358827,0.1408722698688507,0.14320603571419532,0.14322984218597412,1.1935039765376132e-06
29,0.14083928627452916,0.1408642828464508,0.14325614742016168,0.1432807296514511,1.1935039765376132e-06
30,0.14083632163776025,0.14086148142814636,0.14328396642803978,0.14330877363681793,1.1935039765376132e-06
31,0.1408338314049457,0.14085914194583893,0.14330064195532274,0.1433257758617401,1.1935039765376132e-06
32,0.140831564104414,0.14085698127746582,0.14331260771776438,0.1433376967906952,1.1935039765376132e-06
33,0.14082941074457678,0.14085471630096436,0.1433225077197819,0.1433476060628891,1.1935039765376132e-06
34,0.14082728842426406,0.1408526748418808,0.14333140400748234,0.14335666596889496,1.1935039765376132e-06
35,0.14093746505585483,0.14096210896968842,0.1432702199766496,0.14329467713832855,2.387008066762064e-07
36,0.1409253742530077,0.1409502923488617,0.14327710050968778,0.143301859498024,2.387008066762064e-07
37,0.14091953594521062,0.14094440639019012,0.14328449198843962,0.14330953359603882,2.387008066762064e-07
38,0.14091489445169728,0.1409398317337036,0.14329142918519983,0.14331671595573425,2.387008066762064e-07
39,0.14091082821865414,0.1409357786178589,0.14329769184113852,0.14332304894924164,2.387008066762064e-07
