,loss,mse,kl_loss,val_loss,val_mse,val_kl_loss,lr
0,0.16559855648695204,0.16562779247760773,77.46726989746094,0.09253350485409707,0.09254951775074005,94.7422103881836,0.0007459400221705437
1,0.08796812792159965,0.08798333257436752,104.67021179199219,0.08964746434262873,0.08966280519962311,116.73466491699219,0.0007459400221705437
2,0.0852571665526155,0.0852721780538559,131.77273559570312,0.0875948502329316,0.08760961145162582,147.10382080078125,0.0007459400221705437
3,0.08390543903079523,0.0839197114109993,164.18116760253906,0.08693990248592094,0.08695530146360397,179.19696044921875,0.0007459400221705437
4,0.08308479603200587,0.08309923112392426,197.87521362304688,0.08593010423248763,0.08594515174627304,211.20472717285156,0.0007459400221705437
5,0.08254235477832932,0.08255624771118164,228.9403839111328,0.08603857232398396,0.08605347573757172,243.69363403320312,0.0007459400221705437
6,0.08215614155712485,0.08217047154903412,262.3277587890625,0.08596520635505932,0.08597984910011292,283.46453857421875,0.0007459400221705437
7,0.07994461573727603,0.07995796948671341,293.2321472167969,0.08294241873173969,0.08295686542987823,294.3378601074219,0.0001491879957029596
8,0.07969506483648192,0.07970849424600601,295.3447570800781,0.08284587130040043,0.0828605443239212,298.58538818359375,0.0001491879957029596
9,0.07957228812276258,0.07958590239286423,297.0830383300781,0.08275419220229592,0.08276814222335815,300.10736083984375,0.0001491879957029596
10,0.07947728238020553,0.07949117571115494,298.7648620605469,0.08264071005963472,0.0826549381017685,302.68609619140625,0.0001491879957029596
11,0.07940848820223234,0.07942218333482742,301.4769287109375,0.0826724240744728,0.08268694579601288,304.5016174316406,0.0001491879957029596
12,0.07935398800158312,0.07936796545982361,303.95257568359375,0.08254920097243644,0.08256299048662186,308.8277587890625,0.0001491879957029596
13,0.07929035726367087,0.07930406183004379,305.91766357421875,0.08262397324545634,0.08263802528381348,311.2673034667969,0.0001491879957029596
14,0.07878472675533435,0.07879840582609177,313.32867431640625,0.0819020631662361,0.0819164365530014,314.8082580566406,2.983759986818768e-05
15,0.07870292840364128,0.07871653884649277,315.6496887207031,0.08185423221263655,0.08186877518892288,316.62213134765625,2.983759986818768e-05
16,0.07867194550625184,0.07868560403585434,316.4014587402344,0.08183834232600266,0.08185268193483353,316.64849853515625,2.983759986818768e-05
17,0.07865264427217586,0.07866600155830383,316.9903564453125,0.08179933754581144,0.08181359618902206,316.9864501953125,2.983759986818768e-05
18,0.07863017253486682,0.07864385843276978,317.18353271484375,0.0818408255199672,0.08185513317584991,318.9134826660156,2.983759986818768e-05
19,0.07860701198578904,0.07862047851085663,317.7397155761719,0.08177718710798994,0.08179126679897308,318.6855163574219,2.983759986818768e-05
20,0.07859007492117095,0.07860372215509415,318.022705078125,0.0817592068152153,0.08177321404218674,319.2764587402344,2.983759986818768e-05
21,0.07857641868480993,0.07858999818563461,319.64019775390625,0.08153018822852459,0.08154419809579849,319.5473937988281,5.967519882688066e-06
22,0.07853082263581784,0.07854441553354263,320.1695861816406,0.08150365523039002,0.08151739090681076,319.97021484375,5.967519882688066e-06
23,0.07852025827029867,0.07853376120328903,320.515869140625,0.08149721436302157,0.08151121437549591,320.33636474609375,5.967519882688066e-06
24,0.07851335139080834,0.07852719724178314,320.87823486328125,0.0814808986599404,0.0814947858452797,320.8558654785156,5.967519882688066e-06
25,0.07850935708341422,0.07852357625961304,321.23419189453125,0.08149179024592104,0.08150549978017807,320.7593688964844,5.967519882688066e-06
26,0.07850242914627649,0.07851654291152954,321.2962341308594,0.08148200118082778,0.08149565011262894,320.96435546875,5.967519882688066e-06
27,0.07849673745563371,0.07851018756628036,321.3968505859375,0.08148200632527716,0.08149619400501251,321.2049560546875,5.967519882688066e-06
28,0.07859838395933905,0.07861164957284927,321.9398193359375,0.08134285786426543,0.08135685324668884,321.3103332519531,1.1935039765376132e-06
29,0.07856279414123044,0.07857634872198105,321.9695129394531,0.08133750637495361,0.08135168999433517,321.3163757324219,1.1935039765376132e-06
30,0.07855644986252977,0.07857006043195724,322.10137939453125,0.08132829553807226,0.08134233951568604,321.51495361328125,1.1935039765376132e-06
31,0.0785535312404437,0.07856687158346176,322.25396728515625,0.08132837873394835,0.08134245872497559,321.5039367675781,1.1935039765376132e-06
32,0.07855125137586999,0.07856444269418716,322.31036376953125,0.08132666401934525,0.08134061843156815,321.7298278808594,1.1935039765376132e-06
33,0.07854884837287109,0.07856212556362152,322.4524230957031,0.0813231432607856,0.08133718371391296,321.6804504394531,1.1935039765376132e-06
34,0.07854771496437875,0.07856112718582153,322.4807434082031,0.08132289229899926,0.08133683353662491,321.96624755859375,1.1935039765376132e-06
35,0.07866144466417578,0.0786752700805664,322.72625732421875,0.08124011981888904,0.08125434070825577,322.032470703125,2.387008066762064e-07
36,0.07862831868890503,0.07864213734865189,322.76348876953125,0.08123604867037974,0.08125003427267075,321.99896240234375,2.387008066762064e-07
37,0.07862262359684881,0.07863638550043106,322.75775146484375,0.08123399640021065,0.08124806731939316,322.03094482421875,2.387008066762064e-07
38,0.07862010913380671,0.07863391190767288,322.7540283203125,0.08123484611488256,0.08124882727861404,321.98919677734375,2.387008066762064e-07
39,0.07861855033653323,0.07863227277994156,322.76239013671875,0.08123317832927901,0.0812472254037857,322.02996826171875,2.387008066762064e-07
